Parent1	Category1	Parent2	Category2	estimate	SE	df	t.ratio	p.value
dad	AreNot-organelle-targeted	mom	AreNot-organelle-targeted	0.249049308680503	0.00684324650234008	71003.1120843493	36.3934440466728	2.21545634822999e-285
dad	AreNot-organelle-targeted	dad	Dual-targeted_Non-interacting	-1.83405761373206	0.103745852444271	10770.1307438924	-17.6783704651447	5.1380946318977e-67
dad	AreNot-organelle-targeted	dad	Plastid-targeted_Interacting	-2.88850550417717	0.237993832353976	10765.6903704822	-12.1368922698845	9.04743545771144e-32
dad	AreNot-organelle-targeted	dad	Plastid-targeted_Non-interacting	-1.98695789829631	0.145556206080672	10769.3269096586	-13.6507947809183	3.79823193879746e-40
mom	AreNot-organelle-targeted	mom	Dual-targeted_Non-interacting	-1.7886289043572	0.103773822441796	10781.5763568331	-17.2358390803268	9.51349115200514e-64
mom	AreNot-organelle-targeted	mom	Plastid-targeted_Interacting	-2.7803108536727	0.237996921509416	10766.2409991384	-11.6821294831862	1.92019211750663e-29
mom	AreNot-organelle-targeted	mom	Plastid-targeted_Non-interacting	-1.95095852296009	0.145561256995211	10770.7994609502	-13.4030068387241	1.03153520859122e-38
dad	Dual-targeted_Interacting	dad	Plastid-targeted_Interacting	-2.27033140701985	0.446358856492157	10765.3096472412	-5.08633664146809	2.1158031206985e-05
dad	Dual-targeted_Interacting	dad	Plastid-targeted_Non-interacting	-1.368783801139	0.404699609165925	10765.6975241504	-3.38222170256113	0.0303064067833046
mom	Dual-targeted_Interacting	mom	Plastid-targeted_Interacting	-2.04950599877934	0.446527907841623	10781.384393497	-4.58987212845445	0.000246691299732703
dad	Dual-targeted_Non-interacting	mom	Dual-targeted_Non-interacting	0.294478018055366	0.023194443428935	70872.1857825361	12.6960588193294	5.59400040992387e-35
dad	Dual-targeted_Non-interacting	dad	Mitochondria-targeted_Interacting	1.77780261395422	0.243048579593441	10778.4606260173	7.31459783442486	1.8525060159332e-11
dad	Dual-targeted_Non-interacting	dad	Mitochondria-targeted_Non-interacting	1.11398566154019	0.29908032136493	10765.6485197704	3.72470397402352	0.00923754106018137
dad	Dual-targeted_Non-interacting	dad	Plastid-targeted_Interacting	-1.05444789044511	0.256480022878551	10765.7704182225	-4.11122815184873	0.00198240799886529
mom	Dual-targeted_Non-interacting	mom	Mitochondria-targeted_Interacting	1.8042647453879	0.243208198597156	10806.3752594598	7.4186016581474	8.77990333173023e-12
mom	Dual-targeted_Non-interacting	mom	Plastid-targeted_Interacting	-0.991681949315501	0.256488471575524	10767.1679646074	-3.86638020502023	0.0053333852920916
dad	Mitochondria-targeted_Interacting	mom	Mitochondria-targeted_Interacting	0.320940149489049	0.0525800618954363	70951.1361695094	6.10383742277231	6.55742822833516e-08
dad	Mitochondria-targeted_Interacting	dad	Plastid-targeted_Interacting	-2.83225050439933	0.323960606218616	10772.4199395265	-8.74257687518975	1.98882740643858e-16
dad	Mitochondria-targeted_Interacting	dad	Plastid-targeted_Non-interacting	-1.93070289851847	0.263620976539424	10776.9653825203	-7.32378327348216	1.75639019355254e-11
mom	Mitochondria-targeted_Interacting	mom	Plastid-targeted_Interacting	-2.7959466947034	0.324073689596443	10787.2433804966	-8.62750289350887	5.21944810418951e-16
mom	Mitochondria-targeted_Interacting	mom	Plastid-targeted_Non-interacting	-1.96659436399079	0.263759930957524	10799.3630874554	-7.45600120856678	6.72163121030692e-12
dad	Mitochondria-targeted_Non-interacting	dad	Plastid-targeted_Interacting	-2.16843355198529	0.367868048309301	10765.3096566254	-5.89459607038796	2.35991288157413e-07
dad	Mitochondria-targeted_Non-interacting	dad	Plastid-targeted_Non-interacting	-1.26688594610444	0.316026020854234	10765.9457534307	-4.00880263808652	0.00301051010550821
mom	Mitochondria-targeted_Non-interacting	mom	Plastid-targeted_Interacting	-1.93488965474221	0.367994393358638	10779.8862423848	-5.25793242957515	8.69972336955629e-06
mom	Mitochondria-targeted_Non-interacting	mom	Plastid-targeted_Non-interacting	-1.1055373240296	0.316173083031207	10785.6999958026	-3.49662062763415	0.0212889169831279
dad	Plastid-targeted_Interacting	mom	Plastid-targeted_Interacting	0.357243959184972	0.0545703895548284	70846.490632318	6.54647991519355	3.91444062418429e-09
dad	Plastid-targeted_Interacting	dad	Plastid-targeted_Non-interacting	0.901547605880856	0.276053272693864	10766.1432977981	3.26584646899169	0.044886254065562
dad	Plastid-targeted_Non-interacting	mom	Plastid-targeted_Non-interacting	0.285048684016729	0.0330553966192216	70856.980265427	8.62336299577098	4.97479112283424e-16
